description,product_id
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]","SRTEH2FF9KEDEFGF, SRTEH2F6HUZMQ6SJ, SRTEH2FVVKRBAXHB, SRTEH2FVUHAAVH9X, SRTEH2FGBDJGX8FW, SRTEH2FECMGNZJXJ"
"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]","SBEEH3QGU7MFYJFY, SBEEH3QGYGHFUEXN, SBEEH3QGAYAEPRCG, SBEEH3QGWRGG3J6Q"
"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",SHOEH4GRSUBJGZXE
"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",PSOEH3ZYDMSYARJ5
"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",PWTEB7H2E4KCYUE3
"[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",SHOEH3DZBFR88SCK
"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",SHOEH4KM2W3Z6EH5
"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]","SWIEHF3EF5PZAZUY, SWIEHF3H7WG6VGMR"
"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",BOTEGYTZ2T6WUJMM
"[""Footwear >> Women's Footwear >> Ballerinas >> Style Foot Bellies""]",SHOEH4FSHEDEMVTM
"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons Conditioning Conditoner Dog Shampoo (200 ml)""]",PSOEH3ZXRTZJUVXM
"[""Clothing >> Kids' Clothing >> Boys Wear >> Polos & T-Shirts >> dongli Polos & T-Shirts >> dongli Printed Boy's Round Neck T-Shirt (Pack of 4)""]",TSHEHBHSKBJWHFNF
"[""Footwear >> Women's Footwear >> Sports Sandals >> SWAGGA Women Clogs""]",SNDEH75ZFZ5REGFH
"[""Pet Supplies >> Toys >> Comfort Toys""]","PTYEA6SFGD4X8NAR, PTYEAF59EF4Q9R7M, PTYEE5HGHDENG7GY, PTYEDMT4FRUDXZCP"
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Lingerie Sets >> Glus Lingerie Sets""]",LINE92U9KGZG25AY
"[""Sports & Fitness >> Other Sports >> Skating >> Skates >> Veelys Skates""]",SKTEC88WSNYJKWY7
"[""Beauty and Personal Care >> Makeup >> Vanity Boxes >> Bulaky Vanity Boxes""]",VANDZY4YZFPEG85T
"[""Clothing >> Women's Clothing >> Fusion Wear >> Leggings & Jeggings >> Legging Jegging >> FDT Legging Jegging""]",LJGEB2KMCMMHHFC7
"[""Clothing >> Men's Clothing >> Cargos, Shorts & 3/4ths >> Cargos >> Madcaps Cargos""]","CRGE6A53UX7CJMXX, CRGE6A537MTKZBVN"
"[""Bengal Blooms Rose Artificial Plant  with Pot (3...""]",ARPEGDHSXZJSHGSN
"[""Clothing >> Women's Clothing >> Ethnic Wear >> Fabric >> Lehenga Choli Material >> Indcrown Lehenga Choli Material >> Indcrown Net Embroidered Semi-stitched Lehenga C...""]",FABEJX2NHNKCYHKA
"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]","DIAEJ6Z8BEDTGGYY, DIAEJ6Z8KQFWDEGH"
"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Tiara Diaries Designer >> Tiara Diaries 2016-2017 Designer LA Kaarta \""TAKI...""]",DIAEJ8FGHZ3K86JU
"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> KAJCI Waistcoats >> KAJCI Embroidered Women's Waistcoat""]",WSCEG2FYDYFDSVZ6
